Region Code,Region Name,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,within_18_per,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y60,MIDLANDS COMMISSIONING REGION,Other - Medical Services,129246,79532,0.62,61.54,13.4988136,41.91314872,3488,1,258
Y60,MIDLANDS COMMISSIONING REGION,Other - Mental Health Services,200,148,0.74,74.00,10.16666667,29,0,0,0
Y60,MIDLANDS COMMISSIONING REGION,Other - Paediatric Services,62891,38039,0.60,60.48,13.68599176,43.67498881,1972,4,202
Y60,MIDLANDS COMMISSIONING REGION,Other - Surgical Services,65928,39876,0.60,60.48,13.62980769,44.4116318,2306,61,515
Y60,MIDLANDS COMMISSIONING REGION,Other - Other Services,30466,21459,0.70,70.44,10.63355834,37.23208122,501,4,56
Y60,MIDLANDS COMMISSIONING REGION,Total,1444027,818508,0.57,56.68,15.11012566,45.1868728,55749,215,8112
Y61,EAST OF ENGLAND COMMISSIONING REGION,General Surgery Service,64519,32604,0.51,50.53,17.7468773,48.94631579,3899,44,744
Y61,EAST OF ENGLAND COMMISSIONING REGION,Urology Service,58091,30982,0.53,53.33,16.58561404,50.82631229,4235,46,1053
Y61,EAST OF ENGLAND COMMISSIONING REGION,Trauma and Orthopaedic Service,99806,46543,0.47,46.63,19.59219512,54.57563481,9744,294,2845
Y61,EAST OF ENGLAND COMMISSIONING REGION,Ear Nose and Throat Service,78467,40581,0.52,51.72,17.31074169,51.76290909,6160,52,1225
Y61,EAST OF ENGLAND COMMISSIONING REGION,Ophthalmology Service,85009,50741,0.60,59.69,13.88115331,45.33005714,3929,57,767
Y61,EAST OF ENGLAND COMMISSIONING REGION,Oral Surgery Service,33993,15849,0.47,46.62,19.64274924,54.08505415,3288,70,658
Y61,EAST OF ENGLAND COMMISSIONING REGION,Neurosurgical Service,3531,2170,0.61,61.46,13.12921348,43.272,117,3,21
Y61,EAST OF ENGLAND COMMISSIONING REGION,Plastic Surgery Service,16801,8878,0.53,52.84,16.63743455,52.32184615,1365,44,401
Y61,EAST OF ENGLAND COMMISSIONING REGION,Cardiothoracic Surgery Service,256,171,0.67,66.80,11.5,36.76,3,0,0
Y61,EAST OF ENGLAND COMMISSIONING REGION,General Internal Medicine Service,8210,5403,0.66,65.81,12.09230769,38.33103448,132,0,14
Y61,EAST OF ENGLAND COMMISSIONING REGION,Gastroenterology Service,46276,26080,0.56,56.36,15.13917051,45.75648649,2134,22,461
Y61,EAST OF ENGLAND COMMISSIONING REGION,Cardiology Service,57099,32924,0.58,57.66,14.97694805,44.38336957,2110,5,222
Y61,EAST OF ENGLAND COMMISSIONING REGION,Dermatology Service,57571,33485,0.58,58.16,14.35593842,45.18613687,2007,13,342
Y61,EAST OF ENGLAND COMMISSIONING REGION,Respiratory Medicine Service,31092,19828,0.64,63.77,13.12626832,39.02246914,605,0,67
Y61,EAST OF ENGLAND COMMISSIONING REGION,Neurology Service,28914,15180,0.53,52.50,16.94459834,44.05084112,850,2,101
